Id,FieldId,FieldPit,PitName,FieldRegion,RegionName,FieldBlendrec,BlendName,FieldPath,PathName,FieldBean,BeanName,FieldInvbean,InvBeanName,FieldHaul,FieldOre,FieldDumpfeed,FieldDumpcapy,FieldBinsize,FieldXloc,FieldYloc,FieldPathix,FieldTimedump,FieldZloc,FieldSignid,FieldUnit,Unit,FieldLoad,Load,FieldIstiedown,FieldStatus,Status,FieldLinestat,Linestat,FieldSpillage,FieldSignpost,FieldShoptype,Shoptype,FieldDumpqueue,FieldPctcapy,FieldBays,FieldNopenalty,FieldTimelast,FieldRadius,FieldGpstype,Gpstype,FieldReason
1318788,NDO_INF06_TR01,1184488,DLB,1215088,INFIERNILLO 6,-1,,3614600,,-1,,-1,,0,0,0,10000000000,0,101122,98603,61,60,3800.0,107,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,30,396,Punto Interm.,-1
1320488,NDO_INF06_TR02,1184488,DLB,1215088,INFIERNILLO 6,-1,,3617636,,-1,,-1,,0,0,0,10000000000,0,100546,98206,62,60,3880.0,102,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,50,396,Punto Interm.,-1
1322188,NDO_INF06_TR03,1184488,DLB,1215088,INFIERNILLO 6,-1,,3620672,,-1,,-1,,0,0,0,10000000000,0,100985,98177,63,60,3892.0,81,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,26,396,Punto Interm.,-1
1323888,NDO_INF06_TR04,1184488,DLB,1215088,INFIERNILLO 6,-1,,3623708,,-1,,-1,,0,0,0,10000000000,0,101183,98141,64,60,3925.0,18,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,50,396,Punto Interm.,-1
1325588,NDO_INF06_TR05,1184488,DLB,1215088,INFIERNILLO 6,-1,,3626744,,-1,,-1,,0,0,0,10000000000,0,101534,99079,65,60,3930.0,103,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,46,396,Punto Interm.,-1
1327288,NDO_INF06_TR06,1184488,DLB,1215088,INFIERNILLO 6,-1,,3635852,,-1,,-1,,0,0,0,10000000000,0,101595,99271,66,60,3950.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1328988,NDO_INF06_TR07,1184488,DLB,1215088,INFIERNILLO 6,-1,,3638888,,-1,,-1,,0,0,0,10000000000,0,100841,98048,67,60,3908.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1330688,NDO_INF06_TR08,1184488,DLB,1215088,INFIERNILLO 6,-1,,3651032,,-1,,-1,,0,0,0,10000000000,0,101427,98612,68,60,3960.0,111,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,40,396,Punto Interm.,-1
1332388,NDO_INF5_08,1184488,DLB,1213388,INFIERNILLO 5,-1,,-1,,-1,,-1,,0,0,0,10000000000,0,100824,99303,65535,60,3305.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1334088,NDO_INF5_10,1184488,DLB,1213388,INFIERNILLO 5,-1,,3760328,,-1,,-1,,0,0,0,10000000000,0,100956,99539,69,60,3325.0,21,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,1,245,Otro,0,100,0,0,0,36,396,Punto Interm.,-1
1335788,NDO_INF5_12,1184488,DLB,1213388,INFIERNILLO 5,-1,,-1,,-1,,-1,,0,0,0,10000000000,0,100734,99379,65535,60,3300.0,65535,269,Banco,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1337488,NDO_INF5_13,1184488,DLB,1213388,INFIERNILLO 5,-1,,-1,,-1,,-1,,0,0,0,10000000000,0,100898,99399,65535,60,3310.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1340888,NDO_INF5_15,1184488,DLB,1213388,INFIERNILLO 5,-1,,33582420,,-1,,-1,,0,0,0,10000000000,0,100781,100011,70,60,3310.0,65535,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,0,394,Desabilitado,-1
1342588,NDO_INF5_TR13,1184488,DLB,1213388,INFIERNILLO 5,-1,,3666212,,-1,,-1,,0,0,0,10000000000,0,100889,99021,71,60,3370.0,76,272,Nodo,90,Mineral,0,248,Operativo,248,Operativo,0,0,245,Otro,0,100,0,0,0,45,396,Punto Interm.,-1
