Id,ShiftId,FieldId,EquipmentId,Equipment,UnitId,Unit,FuelStartTime,Duration,FuelEndTime,Fuel00,Fuel01,Fuel02,EndTime,Eqtype,ShiftStartTimestamp,StartTimestamp,EndTimestamp,Queue(min)
2.21E+18,221107001,00:47:00CDH51,2.21E+18,CDH51,264,Camion,1561,1259,2820,3434,3181,3427.913321,0:47:00,KOM 930E,11/7/2022 8:00,11/7/2022 8:26,11/7/2022 8:47,0
2.21E+18,221107001,01:04:29CDH53,2.21E+18,CDH53,264,Camion,2315,1554,3869,2960,3329,3334.425645,1:04:29,KOM 930E,11/7/2022 8:00,11/7/2022 8:38,11/7/2022 9:04,0
2.21E+18,221107001,00:41:09CDH52,2.21E+18,CDH52,264,Camion,2469,0,2469,2717,3066,3248.767369,0:41:09,KOM 930E,11/7/2022 8:00,11/7/2022 8:41,11/7/2022 8:41,0
2.21E+18,221107001,01:58:58CDH55,2.21E+18,CDH55,264,Camion,3303,3835,7138,2273,2272,3476.330019,1:58:58,KOM 930E,11/7/2022 8:00,11/7/2022 8:55,11/7/2022 9:58,0
2.21E+18,221107001,01:20:35CDH87,2.21E+18,CDH87,264,Camion,4466,369,4835,2404,3054,3483.971991,1:20:35,KOM 930E,11/7/2022 8:00,11/7/2022 9:14,11/7/2022 9:20,0
2.21E+18,221107001,01:39:52CDH77,2.21E+18,CDH77,264,Camion,5992,0,5992,3161,3424,3306.865413,1:39:52,KOM 930E,11/7/2022 8:00,11/7/2022 9:39,11/7/2022 9:39,0
2.21E+18,221107001,02:14:45CDH63,2.21E+18,CDH63,264,Camion,6173,1912,8085,3862,3594,3571.201433,2:14:45,KOM 930E,11/7/2022 8:00,11/7/2022 9:42,11/7/2022 10:14,0
2.21E+18,221107001,01:58:55CDH66,2.21E+18,CDH66,264,Camion,7135,0,7135,3182,2977,3476.330019,1:58:55,KOM 930E,11/7/2022 8:00,11/7/2022 9:58,11/7/2022 9:58,0
2.21E+18,221107001,02:31:58CDH84,2.21E+18,CDH84,264,Camion,7503,1615,9118,3306,3043,3450.523423,2:31:58,KOM 930E,11/7/2022 8:00,11/7/2022 10:05,11/7/2022 10:31,0
2.21E+18,221107001,02:13:16CDH104,2.21E+18,CDH104,264,Camion,7996,0,7996,1136,1673,3272.968956,2:13:16,KOM 930E,11/7/2022 8:00,11/7/2022 10:13,11/7/2022 10:13,0
2.21E+18,221107001,02:26:43CDH103,2.21E+18,CDH103,264,Camion,8171,632,8803,3017,3574,3131.8279,2:26:43,KOM 930E,11/7/2022 8:00,11/7/2022 10:16,11/7/2022 10:26,0
2.21E+18,221107001,02:36:31CDH115,2.21E+18,CDH115,264,Camion,8860,531,9391,3732,2321,3261.995688,2:36:31,KOM 930E,11/7/2022 8:00,11/7/2022 10:27,11/7/2022 10:36,0
2.21E+18,221107001,02:54:19CDH46,2.21E+18,CDH46,264,Camion,9223,1236,10459,3680,3279,3427.732193,2:54:19,KOM 930E,11/7/2022 8:00,11/7/2022 10:33,11/7/2022 10:54,0
2.21E+18,221107001,02:34:13CDH62,2.21E+18,CDH62,264,Camion,9253,0,9253,2801,3474,3319.495831,2:34:13,KOM 930E,11/7/2022 8:00,11/7/2022 10:34,11/7/2022 10:34,0
2.21E+18,221107001,02:52:42CDH70,2.21E+18,CDH70,264,Camion,9560,802,10362,2799,3125,3262.010542,2:52:42,KOM 930E,11/7/2022 8:00,11/7/2022 10:39,11/7/2022 10:52,0
2.21E+18,221107001,03:12:08CDH91,2.21E+18,CDH91,264,Camion,11522,6,11528,3042,3375,3564.323608,3:12:08,KOM 930E,11/7/2022 8:00,11/7/2022 11:12,11/7/2022 11:12,0
2.21E+18,221107001,03:38:55CDH90,2.21E+18,CDH90,264,Camion,11907,1228,13135,2751,3220,3411.14015,3:38:55,KOM 930E,11/7/2022 8:00,11/7/2022 11:18,11/7/2022 11:38,0
2.21E+18,221107001,03:57:54CDH56,2.21E+18,CDH56,264,Camion,12531,1743,14274,3507,3228,3366.256817,3:57:54,KOM 930E,11/7/2022 8:00,11/7/2022 11:28,11/7/2022 11:57,0
2.21E+18,221107001,03:36:19CDH42,2.21E+18,CDH42,264,Camion,12979,0,12979,2594,3095,3473.954743,3:36:19,KOM 930E,11/7/2022 8:00,11/7/2022 11:36,11/7/2022 11:36,0
2.21E+18,221107001,04:27:55CDH43,2.21E+18,CDH43,264,Camion,13937,2138,16075,2538,3148,3234.690429,4:27:55,KOM 930E,11/7/2022 8:00,11/7/2022 11:52,11/7/2022 12:27,0
2.21E+18,221107001,04:14:20CDH64,2.21E+18,CDH64,264,Camion,14252,1008,15260,3335,3047,3427.817465,4:14:20,KOM 930E,11/7/2022 8:00,11/7/2022 11:57,11/7/2022 12:14,0
2.21E+18,221107001,04:07:46CDH72,2.21E+18,CDH72,264,Camion,14866,0,14866,2911,3309,3368.157647,4:07:46,KOM 930E,11/7/2022 8:00,11/7/2022 12:07,11/7/2022 12:07,0
2.21E+18,221107001,04:38:08CDH40,2.21E+18,CDH40,264,Camion,16659,29,16688,2451,3125,3354.738831,4:38:08,KOM 930E,11/7/2022 8:00,11/7/2022 12:37,11/7/2022 12:38,0
2.21E+18,221107001,05:15:10CDH54,2.21E+18,CDH54,264,Camion,18910,0,18910,2549,3075,3367.898792,5:15:10,KOM 930E,11/7/2022 8:00,11/7/2022 13:15,11/7/2022 13:15,0
2.21E+18,221107001,05:49:34CDH88,2.21E+18,CDH88,264,Camion,19799,1175,20974,3053,3350,3434.714278,5:49:34,KOM 930E,11/7/2022 8:00,11/7/2022 13:29,11/7/2022 13:49,0
2.21E+18,221107001,05:40:09CDH58,2.21E+18,CDH58,264,Camion,20409,0,20409,3068,3401,3373.636801,5:40:09,KOM 930E,11/7/2022 8:00,11/7/2022 13:40,11/7/2022 13:40,0
2.21E+18,221107001,05:59:23CDH74,2.21E+18,CDH74,264,Camion,21563,0,21563,2838,3283,3376.747784,5:59:23,KOM 930E,11/7/2022 8:00,11/7/2022 13:59,11/7/2022 13:59,0
2.21E+18,221107001,06:39:58CDH94,2.21E+18,CDH94,264,Camion,22593,1405,23998,2703,3103,3388.113558,6:39:58,KOM 930E,11/7/2022 8:00,11/7/2022 14:16,11/7/2022 14:39,0
2.21E+18,221107001,06:21:47CDH69,2.21E+18,CDH69,264,Camion,22907,0,22907,2656,3042,3370.334063,6:21:47,KOM 930E,11/7/2022 8:00,11/7/2022 14:21,11/7/2022 14:21,0
2.21E+18,221107001,07:15:20CDH68,2.21E+18,CDH68,264,Camion,24445,1675,26120,2902,3246,3479.850518,7:15:20,KOM 930E,11/7/2022 8:00,11/7/2022 14:47,11/7/2022 15:15,0
