Empty(m),Full(m),Tons,Fuel(l)
609.0,609.0,609.0,609.0
76160.19850803308,93887.03454730482,4456.364375798471,3298.30631387496
25522.19439309184,27549.597636959345,1238.3497634203238,439.57910189348365
24.916833357426952,24.789363880480796,1.3170297495659944,1.0
64062.0,80326.0,3949.0,3271.499445543064
74318.0,93084.0,4377.0,3349.115261429833
86385.0,106453.0,4925.0,3411.1804492113806
323808.0,308514.0,10389.0,4691.28785988588
