DbPrevious,DbNext,DbVersion,Id,DbName,DbKey,FieldId,FieldLocstart,FieldLocend,FieldDist,FieldTimeempty,FieldTimeloaded,FieldClosed,FieldFactor,FieldStreet,FieldResist
3348484,3348796,1,3348640,pitdat.ddb,3348640,00161ED8,1449688,1459888,437,67,94,0,100,,0
3348640,3348952,1,3348796,pitdat.ddb,3348796,00161ED8,1449688,1507488,44,11,17,0,100,,0
3348796,3349108,1,3348952,pitdat.ddb,3348952,00161ED8,1449688,1526188,244,68,48,0,100,,0
3348952,3349264,1,3349108,pitdat.ddb,3349108,00161ED8,1449688,1515988,83,17,20,0,100,,0
3349108,3349420,1,3349264,pitdat.ddb,3349264,00161ED8,1449688,1153888,112,19,37,0,100,,0
3349264,3349576,1,3349420,pitdat.ddb,3349420,0016257C,1451388,1447988,325,36,52,0,100,,0
3349420,3349732,1,3349576,pitdat.ddb,3349576,0016257C,1451388,1453088,171,26,34,0,100,,0
3349576,3349888,1,3349732,pitdat.ddb,3349732,00162C20,1453088,1451388,171,31,35,0,100,,0
3349732,3350044,1,3349888,pitdat.ddb,3349888,00162C20,1453088,1454788,230,34,43,0,100,,0
3349888,3350200,1,3350044,pitdat.ddb,3350044,001632C4,1454788,1453088,230,41,40,0,100,,0
3350044,3350356,1,3350200,pitdat.ddb,3350200,001632C4,1454788,1456488,279,38,42,0,100,,0
3350200,3350512,1,3350356,pitdat.ddb,3350356,163968,1456488,1454788,279,51,51,0,100,,0
3350356,3350668,1,3350512,pitdat.ddb,3350512,163968,1456488,1155588,109,17,18,0,100,,0
3350512,3350824,1,3350668,pitdat.ddb,3350668,0016400C,1458188,1459888,306,51,56,0,100,,0
3350668,3350980,1,3350824,pitdat.ddb,3350824,0016400C,1458188,1415688,599,84,137,0,100,,0
3350824,3351136,1,3350980,pitdat.ddb,3350980,001646B0,1459888,1458188,306,39,98,0,100,,0
3350980,3351292,1,3351136,pitdat.ddb,3351136,001646B0,1459888,1461588,196,23,44,0,100,,0
3351136,3351448,1,3351292,pitdat.ddb,3351292,001646B0,1459888,1449688,437,93,157,0,100,,0
3351292,3351604,1,3351448,pitdat.ddb,3351448,00164D54,1461588,1459888,196,31,95,0,100,,0
3351448,3351760,1,3351604,pitdat.ddb,3351604,00164D54,1461588,1463288,412,49,80,0,100,,0
3351604,3351916,1,3351760,pitdat.ddb,3351760,001653F8,1463288,1461588,412,59,69,0,100,,0
3351760,3352072,1,3351916,pitdat.ddb,3351916,001653F8,1463288,1464988,448,57,79,0,100,,0
3351916,3352228,1,3352072,pitdat.ddb,3352072,00165A9C,1464988,1463288,448,58,74,0,100,,0
3352072,11386728,6,3352228,pitdat.ddb,3352228,00165A9C,1464988,1444588,203,26,37,0,100,,0
43110296,3353476,991,3353320,pitdat.ddb,3353320,16670000,1468388,1481988,414,58,64,0,100,,0
3353320,3353632,1,3353476,pitdat.ddb,3353476,1.66e+90,1470088,1369788,92,14,19,1,100,,0
3353476,3353788,1062,3353632,pitdat.ddb,3353632,1.66e+90,1470088,1390188,128,39,25,0,100,,0
3353632,3353944,1164,3353788,pitdat.ddb,3353788,0016752C,1471788,1386788,47,9,12,0,100,,0
3353788,3354100,1,3353944,pitdat.ddb,3353944,0016752C,1471788,1383388,63,11,9,1,100,,0
3353944,3354256,1,3354100,pitdat.ddb,3354100,00167BD0,1473488,1481988,115,89,94,1,100,,0
3354100,3354412,1438,3354256,pitdat.ddb,3354256,00167BD0,1473488,1483688,100,14,9,0,100,,0
3354256,3354568,1,3354412,pitdat.ddb,3354412,168274,1475188,1378288,72,13,12,1,100,,0
3354412,3354724,1044,3354568,pitdat.ddb,3354568,168274,1475188,1383388,99,20,23,0,100,,0
3354568,3354880,6029,3354724,pitdat.ddb,3354724,168274,1475188,1386788,100,19,18,0,100,,0
3354724,3355036,1,3354880,pitdat.ddb,3354880,168274,1475188,1385088,78,18,13,1,100,,0
3354880,3355192,1,3355036,pitdat.ddb,3355036,168918,1476888,1388488,139,25,25,1,100,,0
3355036,3355660,6853,3355192,pitdat.ddb,3355192,168918,1476888,1381688,43,9,13,0,100,,0
3355192,3355816,2303,3355660,pitdat.ddb,3355660,00169D04,1481988,1398688,224,37,51,0,100,,0
3355660,3355972,1438,3355816,pitdat.ddb,3355816,00169D04,1481988,1473488,115,14,17,0,100,,0
3355816,3356128,955,3355972,pitdat.ddb,3355972,00169D04,1481988,1468388,414,79,67,0,100,,0
3355972,3356284,1,3356128,pitdat.ddb,3356128,00169D04,1481988,1483688,188,27,31,1,100,,0
3356128,3356440,1,3356284,pitdat.ddb,3356284,00169D04,1481988,1529588,619,119,134,0,100,,0
3356284,3356596,1439,3356440,pitdat.ddb,3356440,0016A3A8,1483688,1481988,188,42,45,0,100,,0
3356440,3356752,1,3356596,pitdat.ddb,3356596,0016A3A8,1483688,1473488,100,19,22,1,100,,0
3356596,3356908,1,3356752,pitdat.ddb,3356752,0016A3A8,1483688,1158988,86,16,22,0,100,,0
3356752,3357064,1,3356908,pitdat.ddb,3356908,0016B0F0,1487088,1396988,382,57,78,0,100,,0
3356908,3357220,2118,3357064,pitdat.ddb,3357064,0016BE38,1490488,1400388,339,50,39,0,100,,0
3357064,3357376,467,3357220,pitdat.ddb,3357220,0016C4DC,1492188,1400388,140,40,19,0,100,,0
3357220,3357532,29,3357376,pitdat.ddb,3357376,0016CB80,1493888,1405488,120,18,21,0,100,,0
3357376,3357688,3,3357532,pitdat.ddb,3357532,0016D224,1495588,1266088,137,38,37,0,100,,0
3357532,3357844,2,3357688,pitdat.ddb,3357688,0016DF6C,1498988,1283088,75,10,11,0,100,,0
